id,category,topic,difficulty,source,created_at,question,answer
1275,security_compliance,pii,easy,seed://data_engineering_llm/validation,2025-01-24,New to SecureID: Why am I getting a duplicate records when using the dashboard?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1276,it_support,roles,medium,seed://data_engineering_llm/chunking,2025-05-09,"FYI, Why was my account locked for suspicious activity?",Check status.datawave.com for real‑time uptime and incident history. Subscribe for alerts.
1277,hr_policy,jsonl,easy,seed://product_faq/workspaces,2024-12-23,Sorry if this is basic—Where can I find my API key in ShopNest?,Open Reports → Export and choose **CSV**. Exports are emailed and available in your download history.
1278,hr_policy,pto,easy,seed://data_engineering_llm/rag,2025-02-04,Could you help me with this—How long does it take to process imports?,"From Settings → Account, click **Delete account**. We queue deletion for 5 business days; backups purge afterward."
1279,product_faq,jsonl,easy,seed://developer/pagination,2025-08-27,New to BrightMail: Where can I see system status and uptime for BrightMail?,Schedule recurring exports in Reports → Schedules and target **Make** via connector.
1280,data_engineering_llm,holidays,easy,seed://product_faq/scheduling,2025-09-18,New to SecureID: Where can I find my API key in SecureID?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1281,hr_policy,ratelimits,easy,seed://developer/ratelimits,2025-03-11,New to HealthSync: How do I roll back to a previous version of my data?,"Yes. By default, data is hosted in APAC. Contact support to request a region change."
1282,security_compliance,sdk,medium,seed://product_faq/dashboards,2025-06-02,"FYI, Where can I find my API key in AcmeCloud?",Yes. Visit Integrations and connect **Salesforce**. You may need admin permissions in both systems.
1283,hr_policy,vpn,advanced,seed://developer/auth,2025-07-08,"In simple terms, How do I set up SSO with password?","The current max upload size is **50 MB** per file. For larger data, use the bulk import API."
1284,data_engineering_llm,encryption,medium,seed://hr_policy/holidays,2025-07-21,New to ShopNest: How can I delete my ShopNest account and data?,Go to Workspace → Members → **Invite** and assign the **owner** role. The user must accept via email.
1285,product_faq,fewshot,easy,seed://hr_policy/benefits,2024-11-30,"FYI, How can I export my data as PDF?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1286,it_support,jsonl,easy,seed://data_engineering_llm/rag,2025-04-05,Could you help me with this—How do I add a new user with the viewer role?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1287,developer,device,easy,seed://product_faq/workspaces,2025-04-27,"In simple terms, Where can I see system status and uptime for AcmeCloud?",We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1288,product_faq,printer,easy,seed://security_compliance/phishing,2025-06-10,"FYI, How do I import a CSV file into the admin panel?",We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1289,product_faq,holidays,easy,seed://developer/sdk,2025-03-26,Could you help me with this—How do I resolve duplicate records after import?,"Go to Settings → Security and choose **Reset Password**. If you sign in via SSO (SAML), reset through your identity provider instead."
1290,product_faq,holidays,easy,seed://developer/webhooks,2025-05-02,New to TaskFlow: What are the TaskFlow rate limits for the dashboard?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1291,data_engineering_llm,ratelimits,easy,seed://product_faq/workspaces,2025-03-23,"FYI, Why was my account locked for suspicious activity?",Enable 2FA in Settings → Security. Choose **phone call** and follow the verification steps.
1292,hr_policy,vpn,easy,seed://it_support/passwords,2025-01-22,"In simple terms, How do I import a JSON file into the dashboard?",Check status.secureid.com for real‑time uptime and incident history. Subscribe for alerts.
1293,developer,auth,easy,seed://data_engineering_llm/jsonl,2025-09-02,Could you help me with this—How can I delete my TaskFlow account and data?,Imports typically complete within 24 hours. Large files or validation errors can take longer.
1294,data_engineering_llm,ratelimits,advanced,seed://it_support/wifi,2025-01-15,Could you help me with this—How do I cancel my subscription to AcmeCloud?,"Under Settings → Authentication, choose **SSO (SAML)** and upload your IdP metadata. Test in a sandbox first."
1295,product_faq,dlp,easy,seed://data_engineering_llm/chunking,2025-07-27,Quick question: How long does it take to process imports?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1296,product_faq,scheduling,easy,seed://security_compliance/pii,2025-09-21,"In simple terms, Why am I getting a duplicate records when using the mobile app?",You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1297,security_compliance,exports,easy,seed://hr_policy/holidays,2025-09-19,Where can I find my API key in DataWave?,This is usually caused by a duplicate records. Check the status page and your request logs; retry with exponential backoff.
1298,it_support,sso,easy,seed://it_support/vpn,2025-10-15,How do I set up SSO with password?,"The current max upload size is **25 MB** per file. For larger data, use the bulk import API."
1299,it_support,phishing,easy,seed://data_engineering_llm/rag,2025-08-07,How do I resolve duplicate records after import?,"For the API, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
1300,data_engineering_llm,holidays,medium,seed://hr_policy/benefits,2025-03-27,"FYI, Why was my account locked for suspicious activity?",Go to Workspace → Members → **Invite** and assign the **viewer** role. The user must accept via email.
1301,hr_policy,leave,medium,seed://product_faq/workspaces,2024-11-25,Can I change my SecureID Pro plan?,"Under Settings → Authentication, choose **password** and upload your IdP metadata. Test in a sandbox first."
1302,hr_policy,rag,easy,seed://product_faq/scheduling,2024-12-24,Could you help me with this—Where can I find my API key in EduTrack?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1303,it_support,payroll,easy,seed://hr_policy/benefits,2025-08-14,Quick question: How do I update my billing address for TaskFlow?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1304,it_support,benefits,medium,seed://it_support/passwords,2025-06-05,"FYI, How do I update my billing address for TaskFlow?","Use the date picker to select **last 30 days** or create a custom range, then refresh your report."
1305,hr_policy,workspaces,easy,seed://it_support/passwords,2025-04-03,Quick question: How do I add a new user with the admin role?,Check status.acmecloud.com for real‑time uptime and incident history. Subscribe for alerts.
1306,security_compliance,reimbursement,easy,seed://product_faq/scheduling,2025-04-01,Quick question: Can I change my DataWave Education plan?,Open Reports → Export and choose **CSV**. Exports are emailed and available in your download history.
1307,security_compliance,pagination,easy,seed://developer/api,2025-04-15,Quick question: What is the max upload size for JSON files?,"From Settings → Account, click **Delete account**. We queue deletion for 24 hours; backups purge afterward."
1308,developer,device,easy,seed://security_compliance/mfa,2025-01-10,Quick question: How can I delete my BrightMail account and data?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
1309,hr_policy,workspaces,advanced,seed://security_compliance/pii,2024-12-20,"FYI, How do I roll back to a previous version of my data?",Schedule recurring exports in Reports → Schedules and target **Zapier** via connector.
1310,security_compliance,wifi,medium,seed://hr_policy/reimbursement,2025-07-10,"In simple terms, How do I reset my BrightMail password?",Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1311,developer,fewshot,medium,seed://product_faq/exports,2025-08-04,New to BrightMail: How do I add a new user with the admin role?,"Yes. By default, data is hosted in UK. Contact support to request a region change."
1312,product_faq,exports,easy,seed://data_engineering_llm/fewshot,2025-09-26,Quick question: How do I import a Excel file into the API?,Go to Workspace → Members → **Invite** and assign the **owner** role. The user must accept via email.
1313,security_compliance,printer,medium,seed://hr_policy/leave,2025-06-27,"FYI, How do I enable two‑factor authentication via email?",Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
1314,data_engineering_llm,holidays,easy,seed://developer/api,2025-01-18,"FYI, Where can I see system status and uptime for SecureID?","Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
1315,data_engineering_llm,jsonl,easy,seed://it_support/device,2025-10-15,Sorry if this is basic—What are the AcmeCloud rate limits for the API?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
1316,product_faq,workspaces,advanced,seed://it_support/printer,2025-06-24,New to BrightMail: How do I resolve duplicate records after import?,Yes. Visit Integrations and connect **Microsoft Teams**. You may need admin permissions in both systems.
1317,it_support,device,easy,seed://it_support/device,2025-03-09,Could you help me with this—How do I cancel my subscription to TaskFlow?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1318,developer,printer,medium,seed://data_engineering_llm/validation,2025-09-15,New to TripPilot: What are the TripPilot rate limits for the mobile app?,"Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
1319,data_engineering_llm,wifi,easy,seed://hr_policy/leave,2025-10-27,Sorry if this is basic—How do I set up webhooks in DataWave?,Schedule recurring exports in Reports → Schedules and target **Microsoft Teams** via connector.
1320,data_engineering_llm,workspaces,easy,seed://data_engineering_llm/tokenization,2025-05-22,Quick question: Can I change my TaskFlow Nonprofit plan?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1321,data_engineering_llm,holidays,easy,seed://hr_policy/pto,2024-12-24,Quick question: How do I reset my EduTrack password?,This is usually caused by a validation error. Check the status page and your request logs; retry with exponential backoff.
1322,data_engineering_llm,secrets,easy,seed://product_faq/exports,2025-01-03,Sorry if this is basic—How do I add a new user with the viewer role?,Open Reports → Export and choose **PDF**. Exports are emailed and available in your download history.
1323,product_faq,encryption,medium,seed://developer/auth,2025-07-17,Sorry if this is basic—Can I schedule exports to HubSpot?,Open Billing → Plans and click **Change plan**. You can switch between Enterprise tiers at any time; proration is applied automatically.
1324,security_compliance,webhooks,medium,seed://hr_policy/holidays,2024-11-15,Could you help me with this—What are the BrightMail rate limits for the dashboard?,"From Settings → Account, click **Delete account**. We queue deletion for 7 days; backups purge afterward."
1325,it_support,validation,easy,seed://it_support/wifi,2025-03-14,"FYI, How do I import a NDJSON file into the dashboard?",Check status.trippilot.com for real‑time uptime and incident history. Subscribe for alerts.
1326,developer,validation,medium,seed://data_engineering_llm/fewshot,2025-07-04,New to HealthSync: What is the max upload size for Parquet files?,"Use the date picker to select **last quarter** or create a custom range, then refresh your report."
1327,it_support,vpn,medium,seed://data_engineering_llm/chunking,2025-03-17,"In simple terms, What is the max upload size for Parquet files?","Use the date picker to select **last 7 days** or create a custom range, then refresh your report."
1328,it_support,pto,medium,seed://hr_policy/reimbursement,2025-02-24,"In simple terms, What are the AcmeCloud rate limits for the dashboard?",Enable 2FA in Settings → Security. Choose **Authenticator app** and follow the verification steps.
1329,product_faq,wifi,easy,seed://developer/ratelimits,2024-12-26,"FYI, How do I add a new user with the viewer role?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1330,data_engineering_llm,jsonl,easy,seed://developer/api,2024-11-09,Quick question: How can I delete my BrightMail account and data?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1331,hr_policy,pii,easy,seed://security_compliance/dlp,2025-07-03,"FYI, Can I schedule exports to Microsoft Teams?",Go to Workspace → Members → **Invite** and assign the **billing admin** role. The user must accept via email.
1332,developer,sdk,easy,seed://it_support/sso,2025-09-01,"FYI, Where can I see system status and uptime for TaskFlow?",This is usually caused by a rate limit. Check the status page and your request logs; retry with exponential backoff.
1333,data_engineering_llm,scheduling,advanced,seed://product_faq/scheduling,2025-09-21,"In simple terms, How do I set up SSO with Microsoft login?","Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
1334,hr_policy,chunking,medium,seed://security_compliance/pii,2025-09-15,New to SecureID: How long does it take to process imports?,This is usually caused by a duplicate records. Check the status page and your request logs; retry with exponential backoff.
1335,it_support,tokenization,easy,seed://data_engineering_llm/chunking,2025-10-23,Sorry if this is basic—How do I set up SSO with Google login?,Go to Workspace → Members → **Invite** and assign the **member** role. The user must accept via email.
1336,data_engineering_llm,passwords,easy,seed://product_faq/roles,2025-03-20,Sorry if this is basic—How do I enable two‑factor authentication via push notification?,Enable 2FA in Settings → Security. Choose **email** and follow the verification steps.
1337,product_faq,leave,medium,seed://data_engineering_llm/jsonl,2024-11-25,"In simple terms, How do I add a new user with the admin role?",Open Billing → Address and update your details. Changes apply to future invoices only.
1338,developer,payroll,easy,seed://developer/pagination,2025-05-28,Quick question: How can I filter reports for the YTD?,"Use Import → Upload and select **JSON**. Map fields, run a preview, and start the import; invalid rows are reported."
1339,security_compliance,dlp,medium,seed://it_support/wifi,2025-03-15,New to PaySphere: How do I enable two‑factor authentication via phone call?,"Yes. By default, data is hosted in APAC. Contact support to request a region change."
1340,data_engineering_llm,webhooks,easy,seed://product_faq/dashboards,2025-03-31,How can I filter reports for the last quarter?,Open Billing → Address and update your details. Changes apply to future invoices only.
1341,data_engineering_llm,dashboards,easy,seed://data_engineering_llm/chunking,2025-01-03,Sorry if this is basic—How do I roll back to a previous version of my data?,"Use Import → Upload and select **Excel**. Map fields, run a preview, and start the import; invalid rows are reported."
1342,security_compliance,sso,medium,seed://developer/ratelimits,2024-12-19,Could you help me with this—How can I export my data as CSV?,Open Billing → Plans and click **Change plan**. You can switch between Business tiers at any time; proration is applied automatically.
1343,hr_policy,encryption,easy,seed://product_faq/filters,2025-06-17,"FYI, How do I import a NDJSON file into the web app?",Yes. Visit Integrations and connect **Make**. You may need admin permissions in both systems.
1344,product_faq,phishing,medium,seed://developer/webhooks,2025-01-05,"In simple terms, How do I enable two‑factor authentication via email?","The current max upload size is **25 MB** per file. For larger data, use the bulk import API."
1345,product_faq,sdk,easy,seed://product_faq/roles,2025-01-06,Could you help me with this—Where can I find my API key in SecureID?,"Yes. By default, data is hosted in Canada. Contact support to request a region change."
1346,developer,pii,easy,seed://developer/auth,2024-12-14,"FYI, How do I update my billing address for SecureID?",Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
1347,developer,api,easy,seed://developer/webhooks,2025-04-03,"FYI, Why am I getting a duplicate records when using the mobile app?","Yes. By default, data is hosted in UK. Contact support to request a region change."
1348,security_compliance,dlp,easy,seed://data_engineering_llm/chunking,2025-01-04,Quick question: Why was my account locked for suspicious activity?,Open Reports → Export and choose **PDF**. Exports are emailed and available in your download history.
1349,developer,chunking,easy,seed://it_support/sso,2025-03-20,Could you help me with this—How do I roll back to a previous version of my data?,"Use the date picker to select **YTD** or create a custom range, then refresh your report."
1350,product_faq,secrets,easy,seed://developer/api,2024-12-20,New to ShopNest: How do I resolve duplicate records after import?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1351,it_support,tokenization,easy,seed://hr_policy/holidays,2025-06-19,"In simple terms, What are the HealthSync rate limits for the admin panel?",Schedule recurring exports in Reports → Schedules and target **Microsoft Teams** via connector.
1352,hr_policy,dlp,easy,seed://product_faq/scheduling,2025-03-22,Sorry if this is basic—How do I roll back to a previous version of my data?,Go to Workspace → Members → **Invite** and assign the **member** role. The user must accept via email.
1353,hr_policy,ratelimits,easy,seed://hr_policy/payroll,2025-09-11,New to BrightMail: How do I import a Excel file into the mobile app?,Open Reports → Export and choose **CSV**. Exports are emailed and available in your download history.
1354,developer,payroll,easy,seed://it_support/printer,2025-03-09,"FYI, How do I set up SSO with password?",Schedule recurring exports in Reports → Schedules and target **Salesforce** via connector.
1355,it_support,leave,easy,seed://it_support/printer,2025-04-02,"FYI, Is my data stored in the UK region?",You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1356,product_faq,passwords,easy,seed://hr_policy/payroll,2024-12-22,Could you help me with this—What are the SecureID rate limits for the web app?,"For the web app, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
1357,data_engineering_llm,holidays,medium,seed://it_support/device,2024-12-09,Sorry if this is basic—How do I enable two‑factor authentication via SMS?,"From Settings → Account, click **Delete account**. We queue deletion for 7 days; backups purge afterward."
1358,product_faq,pii,medium,seed://security_compliance/mfa,2024-12-31,New to BrightMail: How do I set up webhooks in BrightMail?,Imports typically complete within 72 hours. Large files or validation errors can take longer.
1359,product_faq,leave,medium,seed://security_compliance/encryption,2024-12-17,Could you help me with this—Why am I getting a rate limit when using the web app?,Enable 2FA in Settings → Security. Choose **push notification** and follow the verification steps.
1360,developer,reimbursement,easy,seed://it_support/passwords,2025-10-06,New to DataWave: How can I filter reports for the last 7 days?,"Use the date picker to select **last quarter** or create a custom range, then refresh your report."
1361,security_compliance,fewshot,easy,seed://it_support/passwords,2025-02-22,Quick question: What are the HealthSync rate limits for the dashboard?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1362,developer,filters,advanced,seed://data_engineering_llm/chunking,2025-09-06,"FYI, What are the EduTrack rate limits for the API?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1363,data_engineering_llm,pii,easy,seed://it_support/device,2025-06-08,"In simple terms, Does EduTrack integrate with Google Sheets?",Open Billing → Address and update your details. Changes apply to future invoices only.
1364,it_support,tokenization,medium,seed://it_support/vpn,2024-11-20,"FYI, Is my data stored in the US region?",This is usually caused by a rate limit. Check the status page and your request logs; retry with exponential backoff.
1365,developer,dlp,medium,seed://hr_policy/leave,2025-05-05,Quick question: How do I set up SSO with Microsoft login?,Imports typically complete within 5 business days. Large files or validation errors can take longer.
1366,security_compliance,workspaces,medium,seed://data_engineering_llm/rag,2025-01-23,Quick question: How do I roll back to a previous version of my data?,"From Settings → Account, click **Delete account**. We queue deletion for 72 hours; backups purge afterward."
1367,developer,pii,medium,seed://hr_policy/reimbursement,2025-07-09,Could you help me with this—How can I delete my ShopNest account and data?,Schedule recurring exports in Reports → Schedules and target **Zapier** via connector.
1368,developer,secrets,easy,seed://developer/sdk,2025-01-11,Quick question: How do I enable two‑factor authentication via Authenticator app?,Enable 2FA in Settings → Security. Choose **push notification** and follow the verification steps.
1369,security_compliance,phishing,medium,seed://security_compliance/encryption,2025-09-07,Does BrightMail integrate with Zapier?,"From Settings → Account, click **Delete account**. We queue deletion for 48 hours; backups purge afterward."
1370,developer,dashboards,easy,seed://it_support/vpn,2025-04-05,What are the AcmeCloud rate limits for the mobile app?,"Go to Settings → Security and choose **Reset Password**. If you sign in via Microsoft login, reset through your identity provider instead."
1371,data_engineering_llm,fewshot,easy,seed://developer/ratelimits,2025-02-22,"FYI, How can I delete my HealthSync account and data?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1372,data_engineering_llm,dashboards,medium,seed://data_engineering_llm/tokenization,2024-11-07,Could you help me with this—What is the max upload size for JSON files?,Enable 2FA in Settings → Security. Choose **SMS** and follow the verification steps.
1373,it_support,printer,advanced,seed://security_compliance/pii,2025-08-13,"FYI, How do I reset my DataWave password?","From Settings → Account, click **Delete account**. We queue deletion for 24 hours; backups purge afterward."
1374,developer,chunking,easy,seed://hr_policy/reimbursement,2024-12-25,Quick question: Where can I find my API key in DataWave?,Schedule recurring exports in Reports → Schedules and target **Google Sheets** via connector.
1375,it_support,device,medium,seed://security_compliance/mfa,2025-10-18,"In simple terms, How do I update my billing address for PaySphere?",Schedule recurring exports in Reports → Schedules and target **Make** via connector.
1376,hr_policy,scheduling,medium,seed://developer/ratelimits,2025-03-15,Quick question: How do I set up SSO with SSO (SAML)?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1377,data_engineering_llm,filters,easy,seed://developer/ratelimits,2025-10-30,"In simple terms, How do I enable two‑factor authentication via push notification?",Go to Workspace → Members → **Invite** and assign the **admin** role. The user must accept via email.
1378,hr_policy,device,easy,seed://security_compliance/encryption,2025-06-28,Sorry if this is basic—How do I import a JSON file into the web app?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1379,hr_policy,scheduling,medium,seed://developer/sdk,2025-06-15,How do I import a NDJSON file into the admin panel?,Check status.acmecloud.com for real‑time uptime and incident history. Subscribe for alerts.
1380,product_faq,tokenization,advanced,seed://product_faq/filters,2024-11-09,New to PaySphere: Why was my account locked for suspicious activity?,Open Reports → Export and choose **PDF**. Exports are emailed and available in your download history.
1381,security_compliance,sdk,easy,seed://it_support/passwords,2025-05-30,"FYI, Why was my account locked for suspicious activity?","The current max upload size is **50 MB** per file. For larger data, use the bulk import API."
1382,data_engineering_llm,scheduling,medium,seed://product_faq/filters,2025-09-30,"FYI, How can I delete my AcmeCloud account and data?",Go to Workspace → Members → **Invite** and assign the **viewer** role. The user must accept via email.
1383,developer,validation,easy,seed://security_compliance/mfa,2025-03-03,New to DataWave: How do I enable two‑factor authentication via SMS?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
1384,it_support,sdk,medium,seed://hr_policy/reimbursement,2025-09-23,Sorry if this is basic—Is my data stored in the Canada region?,Imports typically complete within 72 hours. Large files or validation errors can take longer.
1385,product_faq,ratelimits,easy,seed://product_faq/workspaces,2025-01-22,Could you help me with this—How do I set up webhooks in ShopNest?,"Use the date picker to select **last quarter** or create a custom range, then refresh your report."
1386,developer,roles,medium,seed://hr_policy/pto,2025-10-18,"FYI, How do I set up SSO with password?",Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
1387,security_compliance,api,easy,seed://security_compliance/encryption,2025-01-12,"FYI, How do I reset my SecureID password?",Open Reports → Export and choose **CSV**. Exports are emailed and available in your download history.
1388,it_support,api,easy,seed://developer/sdk,2025-09-25,"In simple terms, Why am I getting a validation error when using the admin panel?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1389,security_compliance,scheduling,easy,seed://product_faq/filters,2025-09-11,Could you help me with this—How do I reset my TaskFlow password?,"Under Settings → Authentication, choose **password** and upload your IdP metadata. Test in a sandbox first."
1390,hr_policy,secrets,easy,seed://data_engineering_llm/validation,2025-10-24,Where can I see system status and uptime for EduTrack?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1391,hr_policy,fewshot,medium,seed://hr_policy/leave,2025-10-23,Can I schedule exports to Make?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
1392,data_engineering_llm,validation,medium,seed://security_compliance/mfa,2024-11-24,"In simple terms, How do I update my billing address for TripPilot?",Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
1393,it_support,pto,medium,seed://it_support/printer,2025-03-04,Sorry if this is basic—How do I cancel my subscription to PaySphere?,Yes. Visit Integrations and connect **HubSpot**. You may need admin permissions in both systems.
1394,data_engineering_llm,mfa,medium,seed://security_compliance/pii,2025-07-22,Could you help me with this—How do I roll back to a previous version of my data?,Yes. Visit Integrations and connect **Make**. You may need admin permissions in both systems.
1395,security_compliance,holidays,easy,seed://data_engineering_llm/fewshot,2025-05-10,How do I enable two‑factor authentication via SMS?,"Use Import → Upload and select **Parquet**. Map fields, run a preview, and start the import; invalid rows are reported."
1396,hr_policy,validation,medium,seed://hr_policy/benefits,2025-01-27,"In simple terms, Is my data stored in the UK region?",Schedule recurring exports in Reports → Schedules and target **Zapier** via connector.
1397,product_faq,reimbursement,easy,seed://security_compliance/encryption,2025-06-13,New to ShopNest: Where can I see system status and uptime for ShopNest?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1398,developer,phishing,easy,seed://product_faq/filters,2025-08-12,Could you help me with this—Can I schedule exports to Google Sheets?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
1399,security_compliance,secrets,easy,seed://security_compliance/encryption,2024-11-15,Quick question: How can I export my data as CSV?,"Yes. By default, data is hosted in Canada. Contact support to request a region change."
1400,developer,webhooks,advanced,seed://developer/webhooks,2025-03-22,Quick question: Does HealthSync integrate with Zapier?,"The current max upload size is **100 MB** per file. For larger data, use the bulk import API."
1401,hr_policy,workspaces,medium,seed://hr_policy/leave,2024-11-26,How do I set up SSO with Microsoft login?,"For the dashboard, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
1402,developer,mfa,easy,seed://data_engineering_llm/fewshot,2025-06-08,New to ShopNest: Where can I see system status and uptime for ShopNest?,Open Billing → Address and update your details. Changes apply to future invoices only.
1403,developer,tokenization,easy,seed://hr_policy/holidays,2024-12-01,"FYI, How can I export my data as JSON?",Enable 2FA in Settings → Security. Choose **phone call** and follow the verification steps.
1404,developer,pto,easy,seed://data_engineering_llm/tokenization,2025-03-15,"FYI, How do I add a new user with the admin role?",Open Reports → Export and choose **CSV**. Exports are emailed and available in your download history.
1405,developer,jsonl,medium,seed://security_compliance/pii,2025-08-27,"In simple terms, Where can I find my API key in SecureID?",You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1406,data_engineering_llm,benefits,medium,seed://it_support/printer,2025-10-08,New to HealthSync: Can I change my HealthSync Nonprofit plan?,This is usually caused by a rate limit. Check the status page and your request logs; retry with exponential backoff.
1407,it_support,encryption,easy,seed://product_faq/roles,2025-01-31,Sorry if this is basic—How do I set up SSO with Microsoft login?,This is usually caused by a duplicate records. Check the status page and your request logs; retry with exponential backoff.
1408,security_compliance,jsonl,easy,seed://it_support/passwords,2025-04-26,Quick question: How do I import a Parquet file into the admin panel?,"Use Import → Upload and select **JSON**. Map fields, run a preview, and start the import; invalid rows are reported."
1409,developer,jsonl,easy,seed://security_compliance/dlp,2025-07-17,New to ShopNest: How do I reset my ShopNest password?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
1410,data_engineering_llm,pii,easy,seed://developer/api,2024-12-27,New to PaySphere: How do I cancel my subscription to PaySphere?,"Under Settings → Authentication, choose **SSO (SAML)** and upload your IdP metadata. Test in a sandbox first."
1411,developer,rag,easy,seed://developer/pagination,2025-04-13,New to AcmeCloud: How do I set up webhooks in AcmeCloud?,Go to Workspace → Members → **Invite** and assign the **billing admin** role. The user must accept via email.
1412,developer,leave,easy,seed://product_faq/roles,2025-06-09,"In simple terms, Why was my account locked for suspicious activity?","From Settings → Account, click **Delete account**. We queue deletion for 5 business days; backups purge afterward."
1413,it_support,dashboards,medium,seed://it_support/passwords,2024-11-24,"In simple terms, How do I set up webhooks in HealthSync?","The current max upload size is **5 MB** per file. For larger data, use the bulk import API."
1414,security_compliance,sdk,medium,seed://security_compliance/phishing,2025-07-21,Where can I see system status and uptime for BrightMail?,"Use the date picker to select **last 30 days** or create a custom range, then refresh your report."
1415,it_support,vpn,easy,seed://data_engineering_llm/jsonl,2025-02-22,New to TaskFlow: How do I roll back to a previous version of my data?,"From Settings → Account, click **Delete account**. We queue deletion for 48 hours; backups purge afterward."
1416,it_support,vpn,medium,seed://it_support/sso,2025-06-10,Sorry if this is basic—How can I export my data as PDF?,"Use Import → Upload and select **NDJSON**. Map fields, run a preview, and start the import; invalid rows are reported."
1417,hr_policy,device,advanced,seed://security_compliance/phishing,2025-10-17,Can I change my TaskFlow Business plan?,"For the dashboard, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
1418,hr_policy,dlp,advanced,seed://product_faq/exports,2025-05-30,Could you help me with this—How do I reset my PaySphere password?,Enable 2FA in Settings → Security. Choose **SMS** and follow the verification steps.
1419,hr_policy,wifi,medium,seed://hr_policy/holidays,2024-11-25,Could you help me with this—Where can I see system status and uptime for DataWave?,Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
1420,security_compliance,pii,easy,seed://data_engineering_llm/fewshot,2025-09-08,"FYI, How do I set up SSO with SSO (SAML)?",Imports typically complete within 5 business days. Large files or validation errors can take longer.
1421,product_faq,api,easy,seed://it_support/vpn,2025-08-11,Quick question: Can I change my TripPilot Pro plan?,Open Billing → Plans and click **Change plan**. You can switch between Enterprise tiers at any time; proration is applied automatically.
1422,it_support,reimbursement,medium,seed://developer/webhooks,2024-12-01,"FYI, How do I cancel my subscription to PaySphere?",This is usually caused by a timeout. Check the status page and your request logs; retry with exponential backoff.
1423,it_support,secrets,easy,seed://data_engineering_llm/jsonl,2025-06-29,"FYI, How can I filter reports for the last 30 days?","Under Settings → Authentication, choose **Google login** and upload your IdP metadata. Test in a sandbox first."
1424,product_faq,mfa,advanced,seed://hr_policy/reimbursement,2024-11-09,Quick question: What are the AcmeCloud rate limits for the mobile app?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
1425,it_support,sso,medium,seed://security_compliance/dlp,2025-10-13,New to HealthSync: How do I import a CSV file into the API?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
